leg,joint,cmd_delta_rad,act_delta_rad
hover,0,-0.000063207,-0.000060007
hover,0,0.000507235,0.000500225
hover,0,-0.000085821,-0.000078976
hover,0,0.000564107,0.000554584
hover,0,-0.000077829,-0.000068694
hover,0,0.000561678,0.000565313
hover,0,0.000118353,0.000118390
hover,0,0.000002175,0.000029754
hover,0,0.000633076,0.000623990
hover,0,-0.000115434,-0.000107415
hover,0,-0.000048031,-0.000064723
hover,0,0.000478478,0.000458613
hover,0,0.000470344,0.000479911
hover,0,0.000020372,0.000014588
hover,0,0.000207746,0.000213146
hover,0,0.000009663,0.000007637
hover,0,0.000524670,0.000517163
hover,0,-0.000135423,-0.000125092
hover,0,0.000518175,0.000499509
hover,0,0.000124634,0.000139803
hover,0,0.000233458,0.000227790
hover,1,0.000416944,0.000410732
hover,1,0.000470256,0.000419870
hover,1,0.000429006,0.000424165
hover,1,0.000427050,0.000424476
hover,1,0.000424360,0.000424664
hover,1,0.000421830,0.000424592
hover,1,0.000400145,0.000424316
hover,1,0.000425452,0.000422245
hover,1,0.000426546,0.000422517
hover,1,0.000429889,0.000422765
hover,1,0.000440042,0.000423281
hover,1,0.000424671,0.000424564
hover,1,0.000433561,0.000424430
hover,1,0.000433446,0.000425139
hover,1,0.000442436,0.000425719
hover,1,0.000423674,0.000426982
hover,1,0.000439009,0.000426600
hover,1,0.000437874,0.000427565
hover,1,0.000435605,0.000428313
hover,1,0.000436993,0.000428809
hover,1,0.000437914,0.000429390
hover,1,0.000438888,0.000429999
hover,1,0.000439596,0.000430636
hover,1,0.000440287,0.000431281
hover,1,0.000440784,0.000431925
hover,1,0.000441069,0.000432564
hover,1,0.000441589,0.000433162
hover,1,0.000444387,0.000433765
hover,1,0.000459927,0.000434544
hover,1,0.000426369,0.000436546
hover,1,0.000444730,0.000435550
hover,1,0.000445074,0.000436265
hover,1,0.000436504,0.000436911
hover,1,0.000449598,0.000436768
hover,1,0.000452090,0.000437766
hover,1,0.000437063,0.000438847
hover,1,0.000453416,0.000438571
hover,1,0.000450123,0.000439742
hover,1,0.000444588,0.000440483
hover,1,0.000465943,0.000440722
hover,1,0.000442260,0.000442745
hover,1,0.000450096,0.000442542
hover,1,0.000441048,0.000443099
hover,1,0.000447052,0.000442844
hover,1,0.000457371,0.000443120
hover,1,0.000455990,0.000444220
hover,1,0.000453201,0.000445097
hover,1,0.000449513,0.000445654
hover,1,0.000462800,0.000445880
hover,1,0.000438794,0.000447193
hover,1,0.000454667,0.000446377
hover,1,0.000461897,0.000447021
hover,1,0.000456682,0.000448172
hover,1,0.000456286,0.000448761
hover,1,0.000464514,0.000449286
hover,1,0.000451639,0.000450466
hover,1,0.000459256,0.000450440
hover,1,0.000460258,0.000451097
hover,1,0.000460588,0.000451767
hover,1,0.000460492,0.000452403
hover,1,0.000460616,0.000452978
hover,1,0.000460847,0.000453521
hover,1,0.000461295,0.000454039
hover,1,0.000461759,0.000454551
hover,1,0.000462113,0.000455061
hover,1,0.000461852,0.000455556
hover,1,0.000477289,0.000455989
hover,1,0.000464832,0.000457700
hover,1,0.000464661,0.000458133
hover,1,0.000464487,0.000458589
hover,1,0.000464344,0.000458993
hover,1,0.000451828,0.000459353
hover,1,0.000466759,0.000458624
hover,1,0.000466862,0.000459280
hover,1,0.000467921,0.000459822
hover,1,0.000468963,0.000460408
hover,1,0.000470118,0.000461023
hover,1,0.000468793,0.000461689
hover,1,0.000471548,0.000462189
hover,1,0.000467769,0.000462874
hover,1,0.000470232,0.000463182
hover,1,0.000471510,0.000463694
hover,1,0.000467580,0.000464260
hover,1,0.000475690,0.000464440
hover,1,0.000476508,0.000465309
hover,1,0.000473839,0.000466141
hover,1,0.000474260,0.000466678
hover,1,0.000474506,0.000467218
hover,1,0.000474914,0.000467740
hover,1,0.000478764,0.000468252
hover,1,0.000471267,0.000469042
hover,1,0.000479948,0.000469116
hover,1,0.000483486,0.000469964
hover,1,0.000470719,0.000470995
hover,1,0.000482481,0.000470847
hover,1,0.000474292,0.000471639
hover,1,0.000480538,0.000471346
hover,1,0.000480484,0.000471490
hover,1,0.000480623,0.000471584
hover,1,0.000483354,0.000471677
hover,1,0.000482485,0.000471999
hover,1,0.000481159,0.000472221
hover,1,0.000490334,0.000472317
hover,1,0.000461257,0.000446347
hover,1,0.000224465,0.000196686
hover,1,0.000067771,0.000058750
