depth_m,force_n,physx_touch
0.000000,60.117811,1
0.000000,57.235947,1
0.000000,60.544915,1
0.000000,57.830598,1
0.000000,60.071577,1
0.000000,58.216005,1
0.000000,59.761309,1
0.000000,57.278746,1
0.000000,60.556668,1
0.000000,57.578290,1
0.000000,60.268725,1
0.000000,57.921675,1
0.000000,59.934276,1
0.000000,57.758930,1
0.000000,60.093259,1
0.000000,57.686416,1
0.000000,60.307011,1
0.000000,57.659555,1
0.000000,60.219702,1
0.000000,57.661409,1
0.000000,60.237625,1
0.000000,57.443854,1
0.000000,60.458205,1
0.000000,57.661316,1
0.000000,60.099403,1
0.000000,58.320005,1
0.000000,59.741341,1
0.000000,57.696038,1
0.000000,60.165748,1
0.000000,57.096097,1
0.000000,60.752453,1
0.000000,58.084548,1
0.000000,59.836947,1
0.000500,37.787071,1
0.000500,37.903761,1
0.000500,37.708869,1
0.000500,37.920222,1
0.000500,37.748193,1
0.000500,37.976992,1
0.000500,37.734736,1
0.000500,37.882755,1
0.000500,37.721032,1
0.000500,37.989947,1
0.000500,37.697305,1
0.000500,37.913527,1
0.000500,37.703434,1
0.000500,37.978913,1
0.000500,37.776624,1
0.000500,37.840968,1
0.000500,37.779818,1
0.000500,37.875253,1
0.000500,37.822797,1
0.000500,37.869138,1
0.000500,37.723357,1
0.000500,37.938494,1
0.000500,37.774272,1
0.000500,37.870077,1
0.000500,37.731908,1
0.000500,37.981987,1
0.000500,37.710956,1
0.000500,37.904484,1
0.000500,37.716550,1
0.000500,37.955687,1
0.000500,37.746716,1
0.000500,37.907693,1
0.000500,37.762066,1
0.000500,37.900885,1
0.000500,37.742957,1
0.000500,37.891273,1
0.000500,37.753368,1
0.000500,37.914041,1
0.000500,37.639096,1
0.000500,38.031701,1
0.001000,98.670651,1
0.001000,70.653139,1
0.001000,98.711370,1
0.001000,70.524714,1
0.001000,98.765142,1
0.001000,70.530150,1
0.001000,98.659020,1
0.001000,70.491900,1
0.001000,98.996598,1
0.001000,70.553486,1
0.001000,98.395253,1
0.001000,70.811711,1
0.001000,98.437847,1
0.001000,70.905516,1
0.001000,98.420239,1
0.001000,70.753401,1
0.001000,98.504742,1
0.001000,70.736159,1
0.001000,98.490086,1
0.001000,70.846703,1
0.001000,98.382390,1
0.001000,70.839550,1
0.001000,98.497948,1
0.001000,70.765999,1
0.001000,98.562955,1
0.001000,70.766554,1
0.001000,98.675214,1
0.001000,70.610716,1
0.001000,98.433659,1
0.001000,70.663820,1
0.001000,98.478069,1
0.001000,70.645163,1
0.001000,98.767689,1
0.001000,70.795918,1
0.001000,98.442376,1
0.001000,70.835951,1
0.001000,98.412415,1
0.001000,70.699951,1
0.001000,98.530224,1
0.001000,70.795355,1
0.002000,96.543142,1
0.002000,108.029459,1
0.002000,96.343693,1
0.002000,108.397764,1
0.002000,96.402792,1
0.002000,108.246276,1
0.002000,96.543150,1
0.002000,108.183304,1
0.002000,96.581432,1
0.002000,108.378183,1
0.002000,96.368144,1
0.002000,108.284330,1
0.002000,96.220374,1
0.002000,108.522011,1
0.002000,96.230096,1
0.002000,108.381594,1
0.002000,96.036198,1
0.002000,108.642358,1
0.002000,96.264737,1
0.002000,108.299684,1
0.002000,96.323320,1
0.002000,108.658938,1
0.002000,96.254523,1
0.002000,108.456110,1
0.002000,96.468112,1
0.002000,107.962356,1
0.002000,96.572460,1
0.002000,108.222871,1
0.002000,96.666860,1
0.002000,107.995757,1
0.002000,96.526048,1
0.002000,108.356066,1
0.002000,96.578826,1
0.002000,107.992504,1
0.002000,96.651958,1
0.002000,108.181420,1
0.002000,96.447247,1
0.002000,108.196429,1
0.002000,96.635379,1
0.002000,107.737671,1
0.003000,133.902598,1
0.003000,140.241490,1
0.003000,133.415386,1
0.003000,140.900040,1
0.003000,133.538502,1
0.003000,141.121583,1
0.003000,134.003858,1
0.003000,140.462100,1
0.003000,133.525453,1
0.003000,141.484987,1
0.003000,134.226831,1
0.003000,140.040402,1
0.003000,133.486185,1
0.003000,140.616817,1
0.003000,133.201548,1
0.003000,141.188030,1
0.003000,133.627618,1
0.003000,140.959883,1
0.003000,133.815446,1
0.003000,140.599547,1
0.003000,133.789100,1
0.003000,140.928393,1
0.003000,133.999493,1
0.003000,140.272135,1
0.003000,133.587998,1
0.003000,140.565283,1
0.003000,133.234578,1
0.003000,141.205434,1
0.003000,133.516736,1
0.003000,140.993590,1
0.003000,133.844466,1
0.003000,140.960050,1
0.003000,134.158892,1
0.003000,140.051894,1
0.003000,133.472090,1
0.003000,140.806745,1
0.003000,133.089480,1
0.003000,141.472993,1
0.003000,133.980143,1
0.003000,140.610468,1
0.004000,183.483762,1
0.004000,120.821505,1
0.004000,154.858723,1
0.004000,189.356056,1
0.004000,136.090756,1
0.004000,170.680973,1
0.004000,121.568362,1
0.004000,196.642410,1
0.004000,124.831446,1
0.004000,161.933900,1
0.004000,131.893830,1
0.004000,176.334838,1
0.004000,133.341869,1
0.004000,171.261317,1
0.004000,182.942729,1
0.004000,140.873374,1
0.004000,159.281203,1
0.004000,168.337034,1
0.004000,127.311202,1
0.004000,170.760743,1
0.004000,125.229581,1
0.004000,161.893304,1
0.004000,182.812483,1
0.004000,152.469253,1
0.004000,138.407661,1
0.004000,178.916745,1
0.004000,130.287991,1
0.004000,165.207283,1
0.004000,127.667411,1
0.004000,188.461523,1
0.004000,121.138413,1
0.004000,153.929005,1
0.004000,192.151842,1
0.004000,130.600628,1
0.004000,165.899339,1
0.004000,128.015153,1
0.004000,175.653103,1
0.004000,132.291437,1
0.004000,169.787525,1
0.004000,185.430611,1
0.006000,249.362303,1
0.006000,161.274678,1
0.006000,205.093571,1
0.006000,271.440417,1
0.006000,219.018317,1
0.006000,218.554934,1
0.006000,216.230662,1
0.006000,216.364647,1
0.006000,208.768395,1
0.006000,199.430931,1
0.006000,226.973171,1
0.006000,183.633427,1
0.006000,250.571766,1
0.006000,216.208033,1
0.006000,216.754718,1
0.006000,158.073762,1
0.006000,259.873174,1
0.006000,173.777346,1
0.006000,255.117457,1
0.006000,156.105683,1
0.006000,258.193459,1
0.006000,160.012194,1
0.006000,268.620860,1
0.006000,160.188974,1
0.006000,218.177529,1
0.006000,234.594678,1
0.006000,201.427316,1
0.006000,225.938194,1
0.006000,203.470786,1
0.006000,242.634644,1
0.006000,203.875830,1
0.006000,163.098850,1
0.006000,224.182299,1
0.006000,223.737675,1
0.006000,227.525694,1
0.006000,226.203583,1
0.006000,210.789036,1
0.006000,158.906342,1
